total_cup_points,species,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,quakers,color,altitude_mean_meters
90.58,Arabica,Ethiopia,NA,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,0,Green,2075
89.92,Arabica,Ethiopia,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,0,Green,2075
89.75,Arabica,Guatemala,Bourbon,NA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,0,NA,1700
89,Arabica,Ethiopia,NA,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,0,Green,2000
88.83,Arabica,Ethiopia,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,0,Green,2075
88.83,Arabica,Brazil,NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,0,Bluish-Green,NA
88.75,Arabica,Other,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,0,Bluish-Green,NA
88.67,Arabica,Ethiopia,NA,NA,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,0,NA,1635
88.42,Arabica,Ethiopia,NA,NA,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,0,NA,1635
88.25,Arabica,Ethiopia,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,0,Green,1822.5
88.08,Arabica,Ethiopia,NA,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,0,NA,1905
87.92,Arabica,Other,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,0,NA,1872
87.92,Arabica,Other,Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,0,NA,1943
87.92,Arabica,"United States
(Hawaii)",NA,NA,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0,0,NA,609.6
87.83,Arabica,Ethiopia,NA,NA,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05,0,NA,1635
87.58,Arabica,Other,Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,0,NA,2080
87.42,Arabica,Other,NA,NA,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03,0,NA,1500
87.33,Arabica,Ethiopia,NA,NA,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05,0,NA,NA
87.25,Arabica,Other,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,0,Green,1450
87.25,Arabica,Ethiopia,Other,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,0,NA,1850
87.25,Arabica,Other,Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,0,None,2019
87.17,Arabica,Costa Rica,Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,0,Green,1300
87.17,Arabica,Mexico,Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,0,Green,1320
87.08,Arabica,Other,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,0,NA,2112
87.08,Arabica,Ethiopia,NA,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,0,Bluish-Green,NA
86.92,Arabica,Brazil,Bourbon,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,0,Green,1250
86.92,Arabica,Ethiopia,NA,NA,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05,0,NA,NA
86.83,Arabica,Other,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,0,Green,1950
86.67,Arabica,Honduras,Caturra,NA,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,0,Green,1400
86.58,Arabica,Taiwan,Other,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,0,0,Green,1200
86.58,Arabica,Other,NA,NA,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08,0,NA,NA
86.5,Arabica,"United Republic
Of Tanzania",NA,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11,0,Bluish-Green,NA
86.42,Arabica,Brazil,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,0,Green,1300
86.33,Arabica,Costa Rica,Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,0,Blue-Green,1300
86.25,Arabica,Ethiopia,NA,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,0,Green,1775
86.25,Arabica,Other,Other,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,0,Blue-Green,1800
86.25,Arabica,"United States
(Hawaii)",Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0,0,NA,609.6
86.25,Arabica,"United States
(Hawaii)",NA,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0,0,NA,NA
86.25,Arabica,Ethiopia,NA,NA,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1,0,NA,NA
86.17,Arabica,Other,Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,0,NA,1941
86.17,Arabica,Other,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,0,Green,1300
